time (seconds); nrOfGames; discountFactor; exploreProbability; learningRate; result; score; 
1292094593; 1863; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292094596; 1864; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292094600; 1865; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292094603; 1866; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292094607; 1867; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292094610; 1868; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292094613; 1869; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292095002; 1970; 0.900000; 0.050000; 0.050000; "LOST"; -0.793750; 
1292095008; 1971; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292095011; 1972; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292095015; 1973; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
1292095018; 1974; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292095022; 1975; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292095025; 1976; 0.900000; 0.050000; 0.050000; "LOST"; -0.793750; 
1292095029; 1977; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292095032; 1978; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292095036; 1979; 0.900000; 0.050000; 0.050000; "LOST"; -0.906250; 
1292095418; 2080; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292095422; 2081; 0.900000; 0.050000; 0.050000; "LOST"; -0.793750; 
1292095426; 2082; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292095429; 2083; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292095433; 2084; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292095436; 2085; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292095440; 2086; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292095446; 2087; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292095452; 2088; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292095456; 2089; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292095835; 2190; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292095839; 2191; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292095843; 2192; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
1292095846; 2193; 0.900000; 0.050000; 0.050000; "LOST"; -0.793750; 
1292095852; 2194; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292095856; 2195; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292095860; 2196; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292095866; 2197; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292095869; 2198; 0.900000; 0.050000; 0.050000; "LOST"; -0.906250; 
1292095873; 2199; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292096255; 2300; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292096261; 2301; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292096264; 2302; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292096270; 2303; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292096273; 2304; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292096277; 2305; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292096280; 2306; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292096284; 2307; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292096287; 2308; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292096290; 2309; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292096654; 2410; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292096657; 2411; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292096661; 2412; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292096664; 2413; 0.900000; 0.050000; 0.050000; "LOST"; -0.793750; 
1292096668; 2414; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292096674; 2415; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292096678; 2416; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292096681; 2417; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292096688; 2418; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292096694; 2419; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292097077; 2520; 0.900000; 0.050000; 0.050000; "LOST"; -0.793750; 
1292097080; 2521; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292097084; 2522; 0.900000; 0.050000; 0.050000; "LOST"; -0.825000; 
1292097087; 2523; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292097091; 2524; 0.900000; 0.050000; 0.050000; "LOST"; -0.906250; 
1292097094; 2525; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
1292097097; 2526; 0.900000; 0.050000; 0.050000; "LOST"; -0.825000; 
