time (seconds); nrOfGames; discountFactor; exploreProbability; learningRate; result; score; 
1292098939; 2304; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292098942; 2305; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292098946; 2306; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292098949; 2307; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292098953; 2308; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292098956; 2309; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292099326; 2410; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292099329; 2411; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292099333; 2412; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292099336; 2413; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292099340; 2414; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292099344; 2415; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292099347; 2416; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292099351; 2417; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292099354; 2418; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292099358; 2419; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
