1292024896;1976;" "" 1976,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292024900;1977;" "" 1977,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024903;1978;" "" 1978,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292024907;1979;" "" 1979,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292025290;2080;" "" 2080,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292025294;2081;" "" 2081,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292025298;2082;" "" 2082,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292025302;2083;" "" 2083,  0.99";  0.01;  0.50;" WON   0.10"""; ;5;5;1
1292025305;2084;" "" 2084,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292025309;2085;" "" 2085,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292025313;2086;" "" 2086,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292025316;2087;" "" 2087,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292025320;2088;" "" 2088,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292025324;2089;" "" 2089,  0.99";  0.01;  0.50;" LOST  -0.25"""; ;;;
1292025711;2190;" "" 2190,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292025715;2191;" "" 2191,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292025719;2192;" "" 2192,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292025722;2193;" "" 2193,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;0;10;0
1292025726;2194;" "" 2194,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292025732;2195;" "" 2195,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292025735;2196;" "" 2196,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292025739;2197;" "" 2197,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292025743;2198;" "" 2198,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292025747;2199;" "" 2199,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026133;2300;" "" 2300,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026138;2301;" "" 2301,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026142;2302;" "" 2302,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026146;2303;" "" 2303,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;0;10;0
1292026150;2304;" "" 2304,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026153;2305;" "" 2305,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026157;2306;" "" 2306,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026161;2307;" "" 2307,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026165;2308;" "" 2308,  0.99";  0.01;  0.50;" LOST  -0.25"""; ;;;
1292026169;2309;" "" 2309,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026558;2410;" "" 2410,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026562;2411;" "" 2411,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026566;2412;" "" 2412,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292026569;2413;" "" 2413,  0.99";  0.01;  0.50;" WON   0.10"""; ;3;7;0,428571429
1292026573;2414;" "" 2414,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026577;2415;" "" 2415,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026581;2416;" "" 2416,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292026584;2417;" "" 2417,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026588;2418;" "" 2418,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026592;2419;" "" 2419,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026982;2520;" "" 2520,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292026986;2521;" "" 2521,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292026989;2522;" "" 2522,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292026993;2523;" "" 2523,  0.99";  0.01;  0.50;" WON   0.10"""; ;3;7;0,428571429
1292026997;2524;" "" 2524,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027000;2525;" "" 2525,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027004;2526;" "" 2526,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027008;2527;" "" 2527,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027012;2528;" "" 2528,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027015;2529;" "" 2529,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027399;2630;" "" 2630,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027403;2631;" "" 2631,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027407;2632;" "" 2632,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027410;2633;" "" 2633,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;1;9;0,111111111
1292027414;2634;" "" 2634,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027418;2635;" "" 2635,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027421;2636;" "" 2636,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027425;2637;" "" 2637,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027429;2638;" "" 2638,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027433;2639;" "" 2639,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292027822;2740;" "" 2740,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027826;2741;" "" 2741,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027829;2742;" "" 2742,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027833;2743;" "" 2743,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;1;9;0,111111111
1292027837;2744;" "" 2744,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027841;2745;" "" 2745,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027844;2746;" "" 2746,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027848;2747;" "" 2747,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027852;2748;" "" 2748,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292027856;2749;" "" 2749,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292028247;2850;" "" 2850,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292028251;2851;" "" 2851,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292028255;2852;" "" 2852,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292028259;2853;" "" 2853,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;0;10;0
1292028262;2854;" "" 2854,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292028266;2855;" "" 2855,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292028270;2856;" "" 2856,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292028273;2857;" "" 2857,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292028277;2858;" "" 2858,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292028281;2859;" "" 2859,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292028667;2960;" "" 2960,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292028671;2961;" "" 2961,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292028675;2962;" "" 2962,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292028678;2963;" "" 2963,  0.99";  0.01;  0.50;" WON   0.10"""; ;4;6;0,666666667
1292028682;2964;" "" 2964,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292028686;2965;" "" 2965,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292028690;2966;" "" 2966,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292028693;2967;" "" 2967,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292028697;2968;" "" 2968,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292028701;2969;" "" 2969,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292029091;3070;" "" 3070,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029095;3071;" "" 3071,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029099;3072;" "" 3072,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029103;3073;" "" 3073,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;2;8;0,25
1292029106;3074;" "" 3074,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
